year,density
1973,0.976112757071031
1974,1.04225907950652
1975,1.02071889309605
1976,0.917505499879211
1977,0.891533868868671
1978,0.997159314209594
1979,1.1381241278802
1980,1.14951125767531
1981,1.12477369984454
1982,1.07215730699813
1983,1.06744539122084
1984,1.03289134218738
1985,1.14771624214111
1986,1.10317741919863
1987,0.965353882712885
1988,1.05123415717754
1989,1.15369962725513
1990,1.18249466811635
1991,1.18877722248606
1992,1.3020875780828
1993,1.20381047758504
1994,1.34866823119545
1995,1.23118446448168
1996,0.984594205470153
1997,1.20919552418766
1998,1.23314776272221
1999,1.38824832372468
2000,1.22097531363088
2001,1.22310689457775
2002,1.11103061216078
2003,1.17275670884328
2004,1.07830897481848
