year curveHighRes0151
0 2.05
0 2.08
0 2.126
0 2.13
0 2.161
0 2.183
0 2.218
0 2.261
0 2.262
0 2.273
0 2.302
0 2.351
0 2.391
0 2.397
0 2.411
0 2.417
0 2.465
0 2.508
0 2.512
0 2.52
0 2.55
0 2.571
0 2.586
0 2.635
0 2.647
0 2.655
0 2.666
0 2.713
0 2.761
0 2.782
0 2.808
0 2.821
0 2.832
0 2.872
0 2.906
0 2.948
0 2.983
0 3.031
0 3.057
0 3.063
0 3.07
0 3.073
0 3.099
0 3.104
0 3.149
0 3.161
0 3.166
0 3.17
0 3.208
0 3.25
0 3.251
0 3.288
0 3.301
0 3.345
0 3.379
0 3.38
0 3.409
0 3.437
0 3.481
0 3.528
0 3.565
0 3.585
0 3.631
0 3.813
0 3.841
0 3.954
0 4.028
0 4.161
0 4.367
0 4.413
0 4.453
0 4.581
0 4.796
0 4.912
0 5.103
0 5.306
0 5.353
0 5.463
0 5.585
0 5.748
0 5.833
0 5.975
0 6.123
0 6.258
0 6.458
0 6.559
0 6.698
0 6.526
0 6.346
0 6.201
0 6.07
0 5.988
0 5.957
0 5.768
0 5.63
0 5.416
0 5.612
0 5.726
0 5.976
0 6.082
0 6.302
0 6.347
0 6.446
0 6.518
0 6.616
0 6.863
0 6.876
0 7.129
0 7.292
0 7.352
0 7.491
1 2.006
1 2.012
1 2.041
1 2.05
1 2.084
1 2.101
1 2.122
1 2.135
1 2.182
1 2.229
1 2.238
1 2.249
1 2.286
1 2.306
1 2.355
1 2.368
1 2.393
1 2.438
1 2.455
1 2.473
1 2.488
1 2.506
1 2.554
1 2.583
1 2.615
1 2.629
1 2.646
1 2.692
1 2.702
1 2.728
1 2.759
1 2.806
1 2.835
1 2.845
1 2.862
1 2.906
1 2.929
1 2.952
1 2.957
1 2.984
1 2.993
1 3.03
1 3.065
1 3.084
1 3.092
1 3.125
1 3.138
1 3.14
1 3.177
1 3.187
1 3.231
1 3.278
1 3.294
1 3.331
1 3.363
1 3.386
1 3.434
1 3.463
1 3.479
1 3.509
1 3.514
1 3.601
1 3.766
1 3.914
1 4.077
1 4.265
1 4.394
1 4.579
1 4.65
1 4.695
1 4.837
1 4.979
1 5.052
1 5.197
1 5.257
1 5.352
1 5.401
1 5.527
1 5.726
1 5.789
1 5.987
1 6.1
1 6.31
1 6.479
1 6.545
1 6.681
1 6.869
1 6.861
1 6.836
1 6.633
1 6.448
1 6.297
1 6.218
1 6.107
1 5.891
1 5.852
1 6.099
1 6.109
1 6.276
1 6.305
1 6.418
1 6.579
1 6.592
1 6.724
1 6.904
1 7.145
1 7.33
1 7.367
1 7.46
1 7.678
1 7.936
1 8.13
1 8.213
2 2.017
2 2.06
2 2.085
2 2.114
2 2.14
2 2.189
2 2.19
2 2.225
2 2.244
2 2.275
2 2.31
2 2.359
2 2.371
2 2.393
2 2.41
2 2.42
2 2.439
2 2.444
2 2.483
2 2.49
2 2.492
2 2.524
2 2.53
2 2.544
2 2.58
2 2.62
2 2.652
2 2.674
2 2.678
2 2.728
2 2.746
2 2.764
2 2.793
2 2.839
2 2.885
2 2.92
2 2.953
2 2.986
2 3.034
2 3.052
2 3.083
2 3.115
2 3.126
2 3.154
2 3.183
2 3.212
2 3.238
2 3.28
2 3.304
2 3.314
2 3.328
2 3.373
2 3.384
2 3.42
2 3.428
2 3.463
2 3.484
2 3.517
2 3.533
2 3.56
2 3.59
2 3.62
2 3.704
2 3.728
2 3.77
2 3.863
2 4.076
2 4.287
2 4.441
2 4.45
2 4.537
2 4.62
2 4.825
2 4.92
2 4.949
2 5.011
2 5.165
2 5.295
2 5.303
2 5.436
2 5.62
2 5.642
2 5.677
2 5.716
2 5.741
2 5.837
2 5.978
2 5.979
2 5.994
2 6.065
2 6.105
2 6.148
2 5.929
2 5.718
2 5.526
2 5.425
2 5.376
2 5.206
2 5.141
2 5.05
2 4.867
2 4.85
2 4.971
2 5.059
2 5.164
2 5.17
2 5.385
2 5.642
2 5.86
2 5.883
2 5.892
2 5.999
2 6.115
2 6.156
2 6.224
2 6.241
2 6.453
2 6.558
2 6.612
2 6.631
3 2.014
3 2.06
3 2.086
3 2.131
3 2.15
3 2.171
3 2.177
3 2.217
3 2.256
3 2.286
3 2.314
3 2.32
3 2.325
3 2.362
3 2.399
3 2.429
3 2.452
3 2.488
3 2.51
3 2.54
3 2.562
3 2.596
3 2.632
3 2.679
3 2.698
3 2.701
3 2.706
3 2.716
3 2.719
3 2.721
3 2.758
3 2.778
3 2.814
3 2.852
3 2.885
3 2.916
3 2.959
3 2.981
3 2.995
3 3.01
3 3.045
3 3.08
3 3.115
3 3.148
3 3.162
3 3.202
3 3.229
3 3.259
3 3.278
3 3.322
3 3.343
3 3.343
3 3.367
3 3.369
3 3.415
3 3.463
3 3.505
3 3.526
3 3.565
3 3.614
3 3.652
3 3.684
3 3.704
3 3.907
3 4.067
3 4.236
3 4.277
3 4.464
3 4.52
3 4.547
3 4.644
3 4.735
3 4.903
3 4.929
3 5.053
3 5.122
3 5.232
3 5.361
3 5.537
3 5.589
3 5.718
3 5.764
3 5.966
3 6.12
3 6.311
3 6.407
3 6.571
3 6.524
3 6.324
3 6.282
3 6.183
3 6.029
3 5.895
3 5.711
3 5.603
3 5.533
3 5.671
3 5.768
3 6.013
3 6.15
3 6.276
3 6.499
3 6.735
3 6.749
3 6.857
3 7.014
3 7.226
3 7.462
3 7.545
3 7.576
3 7.814
3 7.97
3 8.013
3 8.052
4 2.045
4 2.05
4 2.083
4 2.087
4 2.114
4 2.15
4 2.195
4 2.208
4 2.224
4 2.254
4 2.294
4 2.311
4 2.322
4 2.346
4 2.354
4 2.376
4 2.413
4 2.433
4 2.466
4 2.473
4 2.518
4 2.53
4 2.57
4 2.605
4 2.651
4 2.666
4 2.68
4 2.712
4 2.736
4 2.746
4 2.763
4 2.792
4 2.831
4 2.854
4 2.863
4 2.864
4 2.907
4 2.944
4 2.97
4 2.993
4 3.034
4 3.041
4 3.091
4 3.105
4 3.132
4 3.145
4 3.165
4 3.215
4 3.247
4 3.253
4 3.293
4 3.334
4 3.375
4 3.403
4 3.412
4 3.453
4 3.46
4 3.509
4 3.538
4 3.569
4 3.608
4 3.632
4 3.667
4 3.686
4 3.839
4 3.859
4 4.071
4 4.258
4 4.454
4 4.561
4 4.655
4 4.776
4 4.843
4 4.853
4 4.954
4 4.986
4 5.092
4 5.177
4 5.383
4 5.432
4 5.48
4 5.641
4 5.668
4 5.679
4 5.805
4 5.907
4 5.908
4 6.071
4 6.144
4 6.103
4 5.914
4 5.892
4 5.724
4 5.679
4 5.473
4 5.411
4 5.254
4 5.206
4 5.36
4 5.413
4 5.604
4 5.677
4 5.72
4 5.95
4 6.189
4 6.303
4 6.547
4 6.746
4 7.003
4 7.016
4 7.019
4 7.074
4 7.191
4 7.328
4 7.383
4 7.429
4 7.456
5 2.03
5 2.033
5 2.064
5 2.104
5 2.123
5 2.166
5 2.175
5 2.186
5 2.198
5 2.226
5 2.229
5 2.237
5 2.256
5 2.292
5 2.325
5 2.33
5 2.379
5 2.416
5 2.421
5 2.464
5 2.493
5 2.51
