year curveLowRes0521
0 2.047
0 2.362
0 2.703
0 2.888
0 3.177
0 3.397
0 4.205
0 5.812
0 5.67
0 6.459
1 2.006
1 2.311
1 2.625
1 2.907
1 3.245
1 3.557
1 4.6
1 5.53
1 5.358
1 6.124
2 2.047
2 2.332
2 2.629
2 2.983
2 3.267
2 3.546
2 4.995
2 6.195
2 5.369
2 6.437
3 2.003
3 2.297
3 2.669
3 2.957
3 3.194
3 3.473
3 4.415
3 5.493
3 6.088
3 5.747
3 7.667
4 2.019
4 2.326
4 2.609
4 2.88
4 3.221
4 3.599
4 4.615
4 6.095
4 6.814
4 6.144
4 7.622
5 2.019
5 2.382
5 2.608
5 2.876
5 3.206
5 3.504
5 4.527
5 5.643
5 5.064
5 6.626
6 2.035
6 2.291
6 2.508
6 2.804
6 3.134
6 3.392
6 4.268
6 5.723
6 7.003
6 6.609
6 7.81
7 2.005
7 2.32
7 2.683
7 2.916
7 3.187
7 3.529
7 5.029
7 6.333
7 6.026
7 6.557
8 2.026
8 2.407
8 2.696
8 2.949
8 3.332
8 3.597
8 4.964
8 6.515
8 5.742
8 7.222
9 2.006
9 2.181
9 2.42
9 2.576
9 2.939
9 3.286
9 4.623
9 5.686
9 5.065
9 6.071
10 2.021
10 2.202
10 2.455
10 2.712
10 3.036
10 3.363
10 4.362
10 5.138
10 5.107
10 5.451
11 2.036
11 2.368
11 2.747
11 3.104
11 3.389
11 3.606
11 5.282
11 6.663
11 5.985
11 6.814
12 2.035
12 2.217
12 2.545
12 2.873
12 3.158
12 3.464
12 4.802
12 6.186
12 5.412
12 6.806
13 2.015
13 2.405
13 2.71
13 3.008
13 3.342
13 3.655
13 4.664
13 5.623
13 5.962
13 5.791
13 7.614
14 2.027
14 2.287
14 2.588
14 2.806
14 3.086
14 3.284
14 4.05
14 5.333
14 6.1
14 5.494
14 7.043
15 2.034
15 2.307
15 2.577
15 2.824
15 3.224
15 3.53
15 5.091
15 6.255
15 5.969
15 6.996
16 2.044
16 2.362
16 2.605
16 2.933
16 3.225
16 3.52
16 4.518
16 5.719
16 4.997
16 6.712
17 2.032
17 2.323
17 2.607
17 2.899
17 3.213
17 3.49
17 4.627
17 5.955
17 5.989
17 6.287
17 7.331
18 2.037
18 2.28
18 2.538
18 2.797
18 3.072
18 3.38
18 4.66
18 5.682
18 6.676
18 6.421
18 7.965
19 2.038
19 2.313
19 2.642
