year curveMidRes0441
0 2.011
0 2.101
0 2.158
0 2.233
0 2.253
0 2.287
0 2.293
0 2.315
0 2.374
0 2.419
0 2.444
0 2.474
0 2.558
0 2.643
0 2.667
0 2.719
0 2.778
0 2.809
0 2.892
0 2.941
0 2.983
0 3.035
0 3.089
0 3.169
0 3.193
0 3.256
0 3.325
0 3.389
0 3.451
0 3.485
0 3.511
0 3.578
0 3.649
0 3.876
0 4.014
0 4.047
0 4.342
0 4.697
0 4.828
0 4.893
0 5.129
0 5.275
0 5.394
0 5.762
0 5.992
0 6.262
0 6.357
0 6.4
0 6.236
0 5.944
0 5.735
0 5.495
0 5.328
0 5.205
0 5.559
0 5.912
0 6.125
0 6.452
0 6.673
0 6.993
0 7.414
1 2.006
1 2.055
1 2.104
1 2.163
1 2.192
1 2.247
1 2.311
1 2.373
1 2.444
1 2.488
1 2.519
1 2.588
1 2.642
1 2.678
1 2.737
1 2.775
1 2.806
1 2.883
1 2.917
1 2.947
1 3.003
1 3.071
1 3.141
1 3.191
1 3.258
1 3.304
1 3.382
1 3.423
1 3.452
1 3.512
1 3.582
1 3.771
1 3.937
1 4.161
1 4.401
1 4.577
1 4.806
1 4.869
1 5.063
1 5.161
1 5.452
1 5.593
1 5.962
1 6.098
1 6.251
1 6.263
1 6.12
1 5.951
1 5.598
1 5.505
1 5.223
1 5.418
1 5.551
1 5.878
1 6.017
1 6.446
1 6.522
1 6.664
1 6.866
2 2.001
2 2.011
2 2.108
2 2.173
2 2.234
2 2.251
2 2.316
2 2.361
2 2.456
2 2.505
2 2.56
2 2.611
2 2.651
2 2.712
2 2.776
2 2.848
2 2.876
2 2.918
2 2.966
2 2.991
2 3.032
2 3.064
2 3.115
2 3.152
2 3.173
2 3.246
2 3.326
2 3.353
2 3.419
2 3.462
2 3.503
2 3.537
2 3.716
2 4.05
2 4.325
2 4.728
2 4.957
2 5.113
2 5.37
2 5.513
2 5.699
2 5.992
2 6.242
2 6.361
2 6.492
2 6.761
2 6.933
2 6.904
2 6.683
2 6.674
2 6.52
2 6.269
2 6.353
2 6.444
2 6.606
2 6.658
2 6.96
2 7.366
2 7.704
2 8.0
2 8.192
3 2.04
3 2.051
3 2.09
3 2.111
3 2.132
3 2.154
3 2.157
3 2.202
3 2.268
3 2.346
3 2.37
3 2.433
3 2.49
3 2.525
3 2.59
3 2.645
3 2.706
3 2.766
3 2.837
3 2.882
3 2.941
3 2.972
3 3.031
3 3.079
3 3.126
3 3.15
3 3.233
3 3.262
3 3.297
3 3.344
3 3.416
3 3.503
3 3.761
3 4.015
3 4.157
3 4.514
3 4.792
3 5.028
3 5.216
3 5.445
3 5.621
3 5.818
3 5.999
3 6.288
3 6.405
3 6.466
3 6.358
3 6.13
3 5.914
3 5.717
3 5.524
3 5.67
3 5.959
3 6.317
3 6.62
3 6.846
3 7.05
3 7.314
3 7.391
3 7.442
4 2.007
4 2.025
4 2.067
4 2.144
4 2.221
4 2.248
4 2.292
4 2.335
4 2.386
4 2.409
4 2.454
4 2.51
4 2.57
4 2.622
4 2.678
4 2.741
4 2.808
4 2.869
4 2.943
4 3.001
4 3.069
4 3.103
4 3.163
4 3.205
4 3.249
4 3.331
4 3.408
4 3.436
4 3.482
4 3.53
4 3.624
4 3.693
4 3.808
4 4.039
4 4.157
4 4.524
4 4.779
4 5.066
4 5.241
4 5.515
4 5.913
4 5.966
4 6.153
4 6.411
4 6.627
4 6.463
4 6.155
4 5.87
4 5.664
4 5.8
4 6.205
4 6.313
4 6.641
4 6.905
4 7.24
4 7.403
4 7.605
4 7.949
4 7.959
5 2.042
5 2.111
5 2.151
5 2.219
5 2.253
5 2.299
5 2.324
5 2.4
5 2.414
5 2.47
5 2.487
5 2.5
5 2.579
5 2.597
5 2.68
5 2.696
5 2.76
5 2.796
5 2.865
5 2.883
5 2.964
5 3.005
5 3.055
5 3.12
5 3.183
5 3.216
5 3.272
5 3.327
5 3.419
5 3.483
5 3.544
5 3.626
5 4.021
5 4.081
5 4.351
5 4.551
5 4.791
5 5.023
5 5.264
5 5.534
5 5.875
5 6.131
5 6.222
5 6.372
5 6.645
5 6.753
5 6.779
5 6.73
5 6.378
5 6.052
5 5.844
5 5.511
5 5.432
5 5.612
5 5.847
5 5.952
5 6.167
5 6.277
5 6.536
5 6.873
5 6.913
6 2.037
6 2.077
6 2.121
6 2.159
6 2.207
6 2.279
6 2.324
6 2.386
6 2.43
6 2.491
6 2.553
6 2.595
6 2.641
6 2.656
6 2.705
6 2.774
6 2.834
6 2.864
6 2.893
6 2.977
6 3.002
6 3.068
6 3.12
6 3.17
6 3.219
6 3.271
6 3.352
6 3.413
6 3.447
6 3.513
6 3.546
6 3.761
6 3.935
6 4.074
6 4.121
6 4.448
6 4.639
6 4.794
6 4.891
6 4.994
6 5.279
6 5.55
6 5.891
6 6.191
6 6.104
6 5.764
6 5.527
6 5.462
6 5.317
6 5.459
6 5.794
6 6.139
6 6.454
6 6.809
6 7.042
6 7.236
6 7.26
7 2.033
7 2.066
7 2.098
7 2.138
7 2.212
7 2.243
7 2.274
7 2.326
7 2.348
7 2.397
7 2.464
7 2.516
7 2.6
7 2.654
7 2.743
7 2.782
7 2.827
7 2.905
7 2.949
7 3.005
7 3.082
7 3.099
7 3.187
7 3.236
7 3.278
7 3.298
7 3.333
7 3.426
7 3.457
7 3.474
7 3.531
7 3.6
7 3.745
7 3.924
7 4.135
7 4.338
7 4.682
7 4.904
7 5.228
7 5.5
7 5.734
7 5.823
7 6.109
7 6.293
7 6.391
7 6.421
7 6.447
7 6.386
7 6.056
7 5.752
7 5.487
7 5.379
7 4.998
7 5.366
7 5.449
7 5.502
7 5.909
7 6.357
7 6.396
7 6.659
7 6.785
8 2.043
8 2.111
8 2.17
8 2.231
8 2.285
8 2.349
8 2.387
8 2.471
8 2.519
8 2.574
8 2.635
8 2.673
8 2.699
8 2.743
8 2.777
8 2.824
8 2.868
8 2.9
8 2.973
8 3.023
8 3.077
8 3.091
8 3.151
8 3.205
8 3.261
8 3.3
8 3.37
8 3.426
8 3.453
8 3.499
8 3.525
8 3.744
8 3.857
8 4.245
8 4.399
8 4.658
8 4.795
8 5.161
8 5.338
8 5.496
8 5.83
8 6.013
8 6.249
8 6.45
8 6.501
8 6.278
8 6.054
8 5.79
8 5.423
8 5.51
8 5.824
8 6.06
8 6.145
8 6.439
8 6.829
8 7.085
8 7.399
8 7.463
8 7.51
9 2.032
9 2.096
9 2.137
9 2.173
9 2.194
9 2.275
9 2.293
9 2.344
9 2.408
9 2.435
9 2.477
9 2.488
9 2.514
9 2.555
9 2.64
9 2.701
9 2.782
9 2.88
9 2.911
9 2.996
9 3.042
9 3.08
9 3.13
9 3.164
9 3.243
9 3.286
