"year","width"
1916,99.3
1917,96.0416666666665
1918,110.660015155377
1919,117.664358149811
1920,114.574293233416
1921,80.6083955729511
1922,89.8840649816432
1923,70.4823454658231
1924,92.6286020003854
1925,93.8494851516551
1926,107.559346486234
1927,118.868075000335
1928,89.5991171466258
1929,91.192157288488
1930,99.3103776916983
1931,126.447170569865
1932,135.726513484494
1933,115.649344554884
1934,84.3068324060066
1935,81.1933130050463
1936,111.994103789387
1937,107.888398803727
1938,109.540562978459
1939,117.503583599927
1940,108.153257786103
1941,113.741552426069
1942,116.186785665431
1943,118.396541192492
1944,99.1585397186075
1945,92.2852530095942
1946,95.8326697430752
1947,78.2027942459734
1948,88.9650606544381
1949,66.3329197135795
1950,90.9761356801602
1951,102.092157343255
1952,83.5886045950313
1953,107.607603561714
1954,100.706641349197
1955,108.849323986682
1956,116.788831702868
1957,104.336804954738
1958,91.580016729998
1959,103.663016427151
1960,96.7955075539145
1961,105.709110148221
1962,65.4492957559057
1963,108.846537855964
1964,81.3927280199595
1965,103.106311344826
1966,137.643647837808
1967,160.551585186951
1968,167.526684858422
1969,126.133855297117
1970,136.335812141418
1971,115.653394023063
1972,128.219878495515
1973,133.897709505551
1974,135.956215832134
1975,137.070876992257
1976,88.5335875154361
1977,109.130107040565
1978,138.417073761777
1979,112.224970305184
1980,108.508842574303
1981,117.188399824434
1982,121.958585827451
1983,110.115366020492
1984,129.586997364442
1985,139.281568348274
1986,134.340809943565
1987,141.937478676665
1988,173.326325405897
1989,147.217924759718
1990,125.049761037442
1991,109.899574303961
1992,81.6473357904648
1993,115.059116797857
1994,117.499231421204
1995,108.340714718656
1996,130.631757196555
1997,152.247692015346
1998,104.114469309369
1999,127.318486812504
2000,103.192804540293
2001,89.7648787300108
2002,120.283933348809
2003,46.6652919109678
2004,76.4984877995804
