sample,rank1,rank2,rank3,rank4,rank5
1041_MICA-cons1989-1998,1953,1955,1954,1975,1977
1051_MICA-cons1987-1996,1923,1941,1933,1948,1939
1201_MICA-cons1926-1935,1955,1956,1954,1952,1995
1201_MICA-cons1927-1936,1956,1955,1953,1922,1947
1201_MICA-cons1959-1968,1954,1956,1953,1955,1952
1201_MICA-cons1985-1994,1956,1994,1954,1955,1978
1291_MICA-cons1975-1984,1955,1956,1975,1953,1952
1291_MICA-cons1992-2001,1954,1958,1955,1953,1956
1301_MICA-cons1952-1961,1952,1945,1929,1928,1921
1321_MICA-cons1949-1958,1949,1947,1923,1995,1942
1321_MICA-cons1963-1972,1955,1920,1953,1957,1951
1331_MICA-cons1968-1977,1923,1920,1941,1929,1956
1341_MICA-cons1981-1990,1931,1929,1926,1962,1924
1351_MICA-cons1980-1989,1918,1941,1917,1936,1935
1351_MICA-cons1994-2003,1994,1960,1956,1922,1983
1371_MICA-cons1980-1989,1971,1966,1936,1931,1933
1381_MICA-cons1988-1997,1988,1941,1940,1934,1948
1381_MICA-cons1991-2000,1991,1945,1979,1951,1952
1441_MICA-cons1925-1934,1956,1955,1977,1925,1930
1441_MICA-cons1927-1936,1979,1922,1951,1940,1927
1441_MICA-cons1930-1939,1954,1930,1948,1953,1943
1441_MICA-cons1963-1972,1922,1957,1955,1920,1956
1461_MICA-cons1971-1980,1933,1923,1971,1961,1995
1491_MICA-cons1963-1972,1920,1927,1922,1963,1939
1521_MICA-cons1974-1983,1929,1933,1926,1934,1939
1521_MICA-cons1977-1986,1937,1936,1933,1932,1929
1521_MICA-cons1978-1987,1934,1937,1938,1933,1930
1531_MICA-cons1988-1997,1921,1941,1931,1988,1922
1571_MICA-cons1937-1946,1937,1923,1994,1952,1979
1571_MICA-cons1963-1972,1922,1956,1955,1948,1979
1591_MICA-cons1952-1961,1952,1932,1937,1933,1927
1631_MICA-cons1960-1969,1955,1960,1940,1936,1979
1631_MICA-cons1969-1978,1928,1931,1951,1937,1936
401_MICA-cons1932-1941,1932,1953,1937,1950,1938
401_MICA-cons1958-1967,1954,1953,1952,1955,1921
421_MICA-cons1991-2000,1938,1932,1942,1933,1926
441_MICA-cons1983-1992,1926,1919,1944,1936,1923
441_MICA-cons1984-1993,1927,1926,1931,1936,1925
531_MICA-cons1979-1988,1940,1979,1965,1960,1932
561_MICA-cons1972-1981,1972,1952,1942,1957,1937
561_MICA-cons1981-1990,1965,1981,1932,1958,1929
571_MICA-cons1980-1989,1945,1929,1980,1925,1944
571_MICA-cons1984-1993,1920,1927,1984,1922,1944
671_MICA-cons1991-2000,1931,1991,1936,1932,1937
721_MICA-cons1958-1967,1926,1937,1932,1934,1927
751_MICA-cons1989-1998,1955,1942,1977,1943,1929
781_MICA-cons1942-1951,1955,1944,1922,1942,1949
781_MICA-cons1982-1991,1957,1955,1944,1956,1951
851_MICA-cons1969-1978,1928,1931,1969,1929,1950
961_MICA-cons1920-1929,1927,1926,1937,1929,1928
