sample,rank1,rank2,rank3,rank4,rank5
1041_MICA-cons1989-1998,1981,1958,1960,1949,1974
1051_MICA-cons1987-1996,1987,1959,1940,1972,1978
1201_MICA-cons1926-1935,1961,1963,1955,1916,1960
1201_MICA-cons1927-1936,1962,1964,1961,1963,1956
1201_MICA-cons1959-1968,1970,1964,1960,1963,1971
1201_MICA-cons1985-1994,1962,1964,1970,1939,1969
1291_MICA-cons1975-1984,1955,1946,1975,1980,1959
1291_MICA-cons1992-2001,1944,1952,1978,1946,1947
1301_MICA-cons1952-1961,1933,1952,1929,1932,1981
1321_MICA-cons1949-1958,1949,1970,1961,1960,1955
1321_MICA-cons1963-1972,1963,1978,1958,1982,1962
1331_MICA-cons1968-1977,1936,1932,1949,1964,1950
1341_MICA-cons1981-1990,1981,1962,1942,1944,1935
1351_MICA-cons1980-1989,1980,1937,1929,1936,1930
1351_MICA-cons1994-2003,1960,1994,1964,1986,1949
1371_MICA-cons1980-1989,1942,1980,1929,1936,1941
1381_MICA-cons1988-1997,1988,1980,1972,1959,1946
1381_MICA-cons1991-2000,1991,1976,1964,1962,1942
1441_MICA-cons1925-1934,1944,1945,1949,1977,1947
1441_MICA-cons1927-1936,1927,1946,1984,1941,1949
1441_MICA-cons1930-1939,1941,1940,1930,1944,1975
1441_MICA-cons1963-1972,1963,1994,1984,1949,1944
1461_MICA-cons1971-1980,1942,1933,1935,1960,1961
1491_MICA-cons1963-1972,1944,1964,1984,1945,1963
1521_MICA-cons1974-1983,1935,1960,1936,1959,1937
1521_MICA-cons1977-1986,1945,1984,1933,1939,1937
1521_MICA-cons1978-1987,1934,1946,1978,1939,1933
1531_MICA-cons1988-1997,1983,1976,1988,1967,1979
1571_MICA-cons1937-1946,1937,1958,1940,1939,1932
1571_MICA-cons1963-1972,1963,1948,1945,1982,1947
1591_MICA-cons1952-1961,1952,1981,1958,1942,1960
1631_MICA-cons1960-1969,1960,1955,1937,1939,1929
1631_MICA-cons1969-1978,1949,1969,1957,1944,1958
401_MICA-cons1932-1941,1942,1932,1947,1937,1984
401_MICA-cons1958-1967,1942,1959,1958,1960,1956
421_MICA-cons1991-2000,1950,1942,1932,1981,1940
441_MICA-cons1983-1992,1944,1983,1943,1937,1960
441_MICA-cons1984-1993,1984,1945,1963,1944,1991
531_MICA-cons1979-1988,1928,1931,1937,1929,1979
561_MICA-cons1972-1981,1972,1941,1942,1932,1936
561_MICA-cons1981-1990,1981,1937,1929,1932,1925
571_MICA-cons1980-1989,1974,1982,1987,1949,1976
571_MICA-cons1984-1993,1986,1984,1944,1953,1947
671_MICA-cons1991-2000,1991,1968,1965,1937,1984
721_MICA-cons1958-1967,1945,1948,1946,1938,1943
751_MICA-cons1989-1998,1989,1980,1959,1944,1984
781_MICA-cons1942-1951,1974,1972,1962,1968,1980
781_MICA-cons1982-1991,1982,1962,1956,1964,1958
851_MICA-cons1969-1978,1940,1941,1950,1929,1942
961_MICA-cons1920-1929,1945,1937,1940,1946,1947
