sample,rank1,rank2,rank3,rank4,rank5
1041_MICA-cons1989-1998,1960,1947,1974,1988,1976
1051_MICA-cons1987-1996,1987,NA,NA,NA,NA
1201_MICA-cons1926-1935,1957,1940,1955,1961,1956
1201_MICA-cons1927-1936,1941,1962,1948,1956,1960
1201_MICA-cons1959-1968,1968,1964,1970,1957,1971
1201_MICA-cons1985-1994,1979,1967,1954,1939,1940
1291_MICA-cons1975-1984,1975,1955,1949,1956,NA
1291_MICA-cons1992-2001,1961,1945,1942,1948,1952
1301_MICA-cons1952-1961,1952,1945,NA,NA,NA
1321_MICA-cons1949-1958,1976,1980,1949,1971,1981
1321_MICA-cons1963-1972,1963,1982,1993,1972,1975
1331_MICA-cons1968-1977,1995,1956,1936,1989,1980
1341_MICA-cons1981-1990,1981,NA,NA,NA,NA
1351_MICA-cons1980-1989,1980,NA,NA,NA,NA
1351_MICA-cons1994-2003,1994,1960,1984,NA,NA
1371_MICA-cons1980-1989,1980,1985,NA,NA,NA
1381_MICA-cons1988-1997,1988,1946,1967,1980,NA
1381_MICA-cons1991-2000,1991,1970,1980,1977,NA
1441_MICA-cons1925-1934,1977,1954,1930,1945,1986
1441_MICA-cons1927-1936,1938,1979,NA,NA,NA
1441_MICA-cons1930-1939,1941,1935,1950,1987,1990
1441_MICA-cons1963-1972,1984,1963,1994,1978,NA
1461_MICA-cons1971-1980,1995,1980,1982,1987,1971
1491_MICA-cons1963-1972,1963,1964,1978,1979,1945
1521_MICA-cons1974-1983,1974,1983,1984,1942,1959
1521_MICA-cons1977-1986,1977,1963,1941,1989,1986
1521_MICA-cons1978-1987,1978,1990,NA,NA,NA
1531_MICA-cons1988-1997,1988,NA,NA,NA,NA
1571_MICA-cons1937-1946,1937,1983,1982,1964,1985
1571_MICA-cons1963-1972,1963,NA,NA,NA,NA
1591_MICA-cons1952-1961,1952,1943,1995,1971,1981
1631_MICA-cons1960-1969,1960,1979,NA,NA,NA
1631_MICA-cons1969-1978,1969,1993,1958,1977,1985
401_MICA-cons1932-1941,1932,1965,1993,1941,1947
401_MICA-cons1958-1967,1958,1946,1956,NA,NA
421_MICA-cons1991-2000,1978,1981,1969,1950,1942
441_MICA-cons1983-1992,1983,NA,NA,NA,NA
441_MICA-cons1984-1993,1984,NA,NA,NA,NA
531_MICA-cons1979-1988,1986,1979,1960,1940,1984
561_MICA-cons1972-1981,1972,1995,NA,NA,NA
561_MICA-cons1981-1990,1981,1942,NA,NA,NA
571_MICA-cons1980-1989,1980,1974,1977,1976,1978
571_MICA-cons1984-1993,1984,1979,1978,1981,1992
671_MICA-cons1991-2000,1991,NA,NA,NA,NA
721_MICA-cons1958-1967,1938,1965,1946,1967,1990
751_MICA-cons1989-1998,1989,1986,1982,1980,1992
781_MICA-cons1942-1951,1990,1986,1991,1978,1972
781_MICA-cons1982-1991,1982,1986,1972,NA,NA
851_MICA-cons1969-1978,1985,1940,1988,1978,1969
961_MICA-cons1920-1929,1986,1933,1974,1942,1946
